Schools,Hospitals,Restaurants,Shopping Malls,Parks,Theaters,Banks,Supermarkets,Metro Stations,Pharmacies,Gyms,Libraries,ATMs,Pet Stores,Electronics Stores,Toy Stores,Bookstores,Hardware Stores,Gas Stations,Hotels,Area,Cluster,Price,amenities
4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,Prabhat colony,3,20000000,Best
4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,0.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,Poonam Nagar,1,8000000,Good
3.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,Masjid Bunder,2,10000000,Best
1.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,0.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,Balaji Mandir,1,8000000,Good
3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Rani Sati Marg,3,20000000,Best
3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,Hiranandani Gardens,1,8000000,Good
3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,Saki Naka,0,5000000,Low
4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,St Francis of Assisi Nagar,0,5000000,Low
3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,Bangur Nagar,3,20000000,Best
4.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,0.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,5.0,Mount Carmel Road,0,5000000,Low
3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,Dhobi Ghat,0,5000000,Low
3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,Nariman Point,3,20000000,Best
3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,0.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,Samta Nagar,1,8000000,Good
4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,Gandhi Nagar,0,5000000,Low
